# IPTV直播源列表
# 生成时间: 2025-12-09 09:23:21
# 格式: 频道名称,播放URL
# 按分组排列

# 频道分类: 4K频道,央视频道,卫视频道,北京专属频道,山东专属频道,港澳频道,电影频道,儿童频道,iHOT频道,综合频道,体育频道,剧场频道,其他频道

#央视频道#,genre#
广西卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000011000031118/1.m3u8
广西卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000006000040014/1.m3u8
广西卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000011000031118/1.m3u8
广西卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000006000040014/1.m3u8
广西卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000011000031118/1.m3u8
东南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000001000005829/1.m3u8
东南卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000001000005829/1.m3u8
东南卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000001000005829/1.m3u8
东南卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226670/1.m3u8
海南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000006211/1.m3u8
海南卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000004000006211/1.m3u8
海南卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000004000006211/1.m3u8
海南卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000004000006211/1.m3u8
海南卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226679/1.m3u8
河北卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040016/1.m3u8
河北卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000006000040016/1.m3u8
河北卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000006000040016/1.m3u8
河北卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000006000040016/1.m3u8
河北卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226684/1.m3u8
河南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031119/1.m3u8
河南卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000011000031119/1.m3u8
河南卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000011000031119/1.m3u8
河南卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000011000031119/1.m3u8
河南卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226668/1.m3u8
湖北卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000022140/1.m3u8
湖北卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000010000022140/1.m3u8
湖北卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000010000022140/1.m3u8
湖北卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226713/1.m3u8
江西卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000001000032154/1.m3u8
江西卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000001000032154/1.m3u8
江西卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000001000032154/1.m3u8
江西卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000001000032154/1.m3u8
江西卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226726/1.m3u8
江西卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226682/1.m3u8
四川卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000006119/1.m3u8
四川卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000004000006119/1.m3u8
四川卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000004000006119/1.m3u8
四川卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000004000006119/1.m3u8
四川卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226659/1.m3u8
重庆卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000025797/1.m3u8
重庆卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000004000025797/1.m3u8
重庆卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000004000025797/1.m3u8
重庆卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000004000025797/1.m3u8
重庆卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226680/1.m3u8
贵州卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000025843/1.m3u8
贵州卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000004000025843/1.m3u8
贵州卫视,http://[2409:8087:1e01:23::20]:8112/000000001000/5000000004000025843/1.m3u8
贵州卫视,http://[2409:8087:1e01:23::22]:8112/000000001000/5000000004000025843/1.m3u8
贵州卫视,http://[2409:8087:5804:11::411:1075]:8088/PLTV/81/224/3221226672/1.m3u8
云南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000006000040019/1.m3u8
云南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031120/1.m3u8
云南卫视,http://[2409:8087:1e01:23::11]:8112/000000001000/5000000006000040019/1.m3u8
